question,timestamp,answer,favourite,status,votes,tags,
"Looking ten years out, where is the biggest gap in European modelling? eg. physics, coupling, validation, facilities, or sustained funding to maintain what exists?",2026-09-14-16:27,,false,CORRECT,10,
"Should we have standardised performance metrics for space weather models, and if so, who and what should they determined by?",2026-09-22-13:06,,false,CORRECT,8,
"How do we ensure that good datasets/software that are freely available are used by the community, not just lost in the open research section of a paper?",2026-09-22-12:32,,false,CORRECT,8,
"Concerning the topic of getting Science and Software engineers together: You mentioned using Software engineers from companies instead of within academia. How would you propose the workflow to be, both concerning finding funding to hire those engineers within projects and then communication between scientists writing code and the engineers refining it?",2026-09-22-13:09,,false,CORRECT,6,
"What fundamentally changes for heliophysics with the Vigil mission, and how should the community adapt to fully exploit this new perspective?",2026-09-18-09:38,,false,CORRECT,6,
"What should data providers and curators do to make their data easier to find and use, and what can the rest of us as a community do to support them?",2026-09-14-16:35,,false,CORRECT,6,
"Who should be writing and maintaining the software our science depends on, and how do we fund and reward them?",2026-09-14-16:35,,false,UNSET,6,
"How does ESA envision the research to operations pipeline and how do you support researchers throughout it",2026-09-22-13:15,,false,UNSET,4,
"What would it take for European space weather services to keep running if a key external data stream or model went dark?",2026-09-14-16:26,,false,UNSET,4,
"What is the one thing missing from the European pipeline that would most improve swx alerts and forecasts today?",2026-09-14-16:31,,false,UNSET,3,
"How do we balance sovereignty and openness? What role do open standards play?",2026-09-14-16:28,,false,UNSET,3,
"The lack of exchange between end users and scientists was mentioned a few times now, as well as the disconnect between their expectations to what we know is currently possible. How can we improve this? Dedicated meetings/sessions that facilitate this exchange? Deliberately inviting representatives to meetings like this? Better outreach (and funding for it)?",2026-09-22-13:28,,false,UNSET,2,
"Is it useful to make data itself a citable object (i.e. DOI)? Does this encourage higher data quality/calibration?",2026-09-22-13:15,,false,UNSET,2,
"How does geopolitics effect ESA decisions on data policy and model capability protection",2026-09-22-13:11,,false,UNSET,2,
"How (by which sponsor) should the database covering both from ground and space be constructed and maintained, other than ESA?",2026-09-22-12:27,,false,UNSET,2,
"How can we improve the interface between satellite operators and scientists, so that scientific knowledge is translated more effectively into operational needs?",2026-09-22-13:13,,false,UNSET,1,
"What future mission would you be most excited for your science?",2026-09-22-13:08,,false,UNSET,0,
